name,attractive,intelligence,budget,minattraction,type
boy1,34,93,27,36,44
boy2,31,44,56,15,24
boy3,10,48,49,46,57
boy4,12,78,91,83,49
boy5,5,66,19,48,94
boy6,1,93,91,10,97
boy7,22,0,13,8,7
boy8,68,10,76,43,5
boy9,2,24,95,17,50
boy10,44,30,6,83,74
boy11,81,74,54,40,27
boy12,48,16,78,22,26
boy13,1,3,15,38,92
boy14,77,40,84,74,78
boy15,1,53,25,90,17
boy16,79,0,52,67,41
boy17,86,88,49,42,11
boy18,44,84,46,10,74
boy19,86,64,85,55,17
boy20,76,95,46,73,44
boy21,53,62,98,51,81
boy22,95,16,34,40,35
boy23,40,27,83,18,64
boy24,96,21,28,82,40
boy25,62,15,29,9,3
boy26,66,10,18,59,96
boy27,67,69,87,0,14
boy28,2,59,73,53,30
boy29,49,29,61,74,42
boy30,86,5,28,35,16
boy31,13,24,26,96,16
boy32,89,71,15,40,72
boy33,66,80,1,22,87
boy34,67,41,17,10,25
boy35,79,40,25,49,74
boy36,7,79,29,9,75
boy37,38,3,77,7,45
boy38,37,91,5,85,43
boy39,36,85,2,96,35
boy40,23,98,79,47,37
boy41,58,19,6,86,69
boy42,91,30,66,78,20
boy43,7,67,26,58,94
boy44,25,87,61,53,4
boy45,52,17,74,42,54
boy46,93,86,60,36,73
boy47,68,65,39,59,35
boy48,23,84,8,23,62
boy49,96,77,51,35,99
boy50,72,91,74,72,62
boy51,14,42,45,82,18
boy52,19,18,72,5,22
boy53,92,21,95,27,49
boy54,82,38,92,11,96
boy55,59,41,72,78,22
boy56,68,52,62,90,85
boy57,73,75,82,88,11
boy58,41,92,60,30,95
boy59,13,4,83,74,46
boy60,97,69,2,78,3
boy61,98,14,80,77,85
boy62,17,23,76,10,52
boy63,29,72,84,52,22
boy64,45,55,64,88,8
boy65,95,8,81,71,9
boy66,8,79,89,33,28
boy67,15,91,84,51,16
boy68,91,53,0,67,50
boy69,84,85,2,13,83
boy70,37,62,73,49,71
boy71,50,61,23,5,1
boy72,41,25,89,44,28
boy73,31,45,34,80,94
boy74,26,56,3,36,97
boy75,29,34,75,97,55
boy76,16,57,94,81,40
boy77,44,7,2,17,80
boy78,36,66,80,72,82
boy79,63,21,18,55,54
boy80,95,80,99,88,32
boy81,12,34,62,48,59
boy82,33,45,67,66,38
boy83,19,7,9,91,43
boy84,13,97,27,31,67
boy85,98,94,69,23,94
boy86,92,11,58,70,0
boy87,52,19,42,73,69
boy88,9,71,8,60,48
boy89,22,63,80,93,0
boy90,88,87,92,82,48
boy91,49,27,66,58,62
boy92,45,35,82,30,8
boy93,27,22,84,20,35
boy94,8,42,56,52,80
boy95,81,8,65,28,85
boy96,86,12,74,28,76
boy97,47,62,67,66,97
boy98,49,22,0,66,95
boy99,18,30,63,92,96
