name,attractive,intelligence,budget,minattraction
boy1,57,27,77,37
boy2,41,0,92,96
boy3,40,14,92,77
boy4,79,63,56,73
boy5,17,55,65,56
boy6,22,25,12,62
boy7,59,40,98,12
boy8,23,59,3,32
boy9,51,67,48,69
boy10,17,7,72,62
boy11,38,38,6,51
boy12,29,10,90,90
boy13,58,60,91,73
boy14,77,1,0,45
boy15,25,56,87,13
boy16,76,37,41,21
boy17,63,6,18,46
boy18,36,53,13,45
boy19,40,47,20,84
boy20,84,36,6,29
boy21,44,71,5,53
boy22,85,17,84,52
boy23,36,3,45,55
boy24,76,81,69,23
boy25,91,54,13,10
boy26,22,77,73,76
boy27,78,33,72,29
boy28,26,90,35,65
boy29,77,40,66,49
boy30,55,6,5,21
boy31,85,92,12,51
boy32,54,98,83,55
boy33,12,57,73,92
boy34,3,15,88,84
boy35,83,3,47,1
boy36,17,87,86,68
boy37,56,55,11,38
boy38,93,59,18,41
boy39,31,33,92,64
boy40,50,80,45,16
boy41,49,61,44,48
boy42,47,48,44,45
boy43,91,75,16,67
boy44,87,51,37,91
boy45,91,32,48,39
boy46,80,80,31,91
boy47,39,60,92,18
boy48,48,72,21,44
boy49,84,76,8,43
boy50,2,75,39,74
boy51,43,51,61,13
boy52,82,95,63,85
boy53,3,35,85,55
boy54,40,10,1,36
boy55,76,55,6,5
boy56,44,13,62,84
boy57,9,23,38,63
boy58,81,45,0,64
boy59,67,17,84,82
boy60,60,11,40,40
boy61,51,76,53,52
boy62,73,33,86,64
boy63,27,84,24,29
boy64,14,75,81,8
boy65,29,39,86,6
boy66,90,77,56,58
boy67,38,67,86,35
boy68,35,21,37,77
boy69,43,50,14,62
boy70,55,27,81,78
boy71,64,0,19,90
boy72,63,3,77,35
boy73,35,6,20,34
boy74,54,75,17,94
boy75,61,58,47,62
boy76,82,56,93,23
boy77,65,63,58,35
boy78,31,83,7,39
boy79,21,75,50,17
boy80,65,57,62,73
boy81,52,5,28,97
boy82,85,80,97,57
boy83,63,30,62,93
boy84,24,85,36,96
boy85,6,69,82,64
boy86,79,42,73,99
boy87,9,9,19,68
boy88,93,27,24,48
boy89,96,31,97,38
boy90,52,79,4,54
boy91,44,19,89,58
boy92,11,90,66,61
boy93,4,14,65,2
boy94,72,66,44,97
boy95,46,94,16,5
boy96,95,20,4,98
boy97,2,38,72,6
boy98,33,1,16,87
boy99,2,77,86,7
